customer_id,order_count,total_spent,avg_check,max_order_amount,unique_products,unique_categories,days_since_first_order,delivery_morning,delivery_day,delivery_evening
1,18,156065.70,8670.3166666666666667,13625.14,17,6,621,1,0,0
2,24,188517.81,7854.9087500000000000,14521.07,24,6,702,0,0,1
3,6,28788.54,4798.0900000000000000,8641.72,6,4,608,1,0,0
4,18,163914.54,9106.3633333333333333,13784.77,18,5,714,0,1,0
5,6,23415.93,3902.6550000000000000,3937.69,6,4,404,0,0,1
6,15,78477.90,5231.8600000000000000,6413.28,15,6,597,0,1,0
7,18,205102.83,11394.601666666667,14143.03,18,5,727,0,0,1
8,9,72416.25,8046.2500000000000000,10374.46,9,5,301,1,0,0
9,6,47404.11,7900.6850000000000000,12719.71,6,5,431,0,1,0
10,12,86817.06,7234.7550000000000000,10779.36,12,6,141,0,0,1
11,18,74689.53,4149.4183333333333333,6489.83,18,6,584,0,0,1
12,15,95472.66,6364.8440000000000000,9768.46,15,5,632,0,0,1
13,18,143284.59,7960.2550000000000000,9717.94,18,5,644,0,0,1
14,24,193862.64,8077.6100000000000000,12584.05,23,6,729,0,1,0
15,15,87412.44,5827.4960000000000000,9493.59,15,6,722,0,0,1
16,24,144936.12,6039.0050000000000000,9802.82,24,6,684,0,0,1
17,24,113628.09,4734.5037500000000000,10150.52,24,6,686,0,1,0
18,6,32951.13,5491.8550000000000000,7887.48,6,6,375,0,1,0
19,15,89052.60,5936.8400000000000000,7387.80,15,6,584,0,1,0
20,9,77534.40,8614.9333333333333333,12353.29,9,4,509,0,1,0
21,3,25792.56,8597.5200000000000000,8597.52,3,3,699,1,0,0
22,6,45229.41,7538.2350000000000000,8886.02,6,5,631,0,0,1
23,12,66520.23,5543.3525000000000000,6400.11,12,4,725,0,0,1
24,3,19135.11,6378.3700000000000000,6378.37,3,3,380,0,0,1
25,12,75145.56,6262.1300000000000000,7947.40,12,5,433,0,0,1
26,18,115047.81,6391.5450000000000000,11088.69,18,6,685,0,0,1
27,18,111265.68,6181.4266666666666667,10333.92,17,6,613,1,0,0
28,18,122494.53,6805.2516666666666667,10425.29,18,5,663,0,1,0
